iter	Passed	Remaining
0	1	249
1	2	262
2	3	239
3	4	231
4	5	204
5	5	180
6	7	197
7	7	183
8	7	169
9	8	158
10	8	149
11	9	145
12	9	138
13	10	133
14	10	127
15	11	131
16	12	130
17	12	129
18	13	124
19	13	120
20	13	116
21	13	113
22	14	109
23	14	107
24	15	106
25	15	104
26	15	101
27	16	99
28	16	96
29	16	94
30	17	92
31	17	90
32	17	89
33	17	87
34	18	85
35	18	84
36	18	83
37	19	81
38	19	80
39	19	79
40	20	77
41	20	76
42	20	75
43	20	74
44	21	73
45	21	72
46	21	71
47	22	70
48	22	69
49	22	68
50	23	67
51	23	66
52	23	65
53	24	65
54	24	64
55	24	63
56	25	62
57	25	61
58	25	61
59	25	60
60	26	59
61	26	58
62	26	58
63	26	57
64	27	56
65	27	55
66	27	55
67	28	54
68	28	54
69	28	53
70	29	52
71	29	52
72	29	51
73	29	50
74	30	50
75	30	49
76	30	49
77	31	48
78	31	47
79	32	48
80	32	47
81	32	46
82	32	46
83	33	45
84	33	45
85	33	44
86	34	44
87	35	45
88	36	45
89	36	44
90	36	44
91	37	43
92	37	43
93	44	49
94	45	50
95	67	73
96	68	72
97	68	71
98	68	70
99	69	69
100	69	68
101	69	66
102	69	65
103	70	64
104	70	63
105	70	62
106	71	61
107	71	60
108	71	59
109	72	58
110	72	58
111	72	57
112	73	56
113	74	56
114	74	55
115	74	54
116	75	53
117	76	53
118	76	52
119	77	51
120	77	50
121	77	49
122	78	49
123	79	48
124	80	48
125	81	47
126	81	46
127	82	46
128	82	45
129	82	44
130	82	43
131	83	42
132	83	42
133	83	41
134	83	40
135	84	39
136	84	38
137	84	38
138	85	37
139	85	36
140	85	35
141	86	35
142	86	34
143	86	33
144	86	32
145	87	32
146	87	31
147	88	31
148	88	30
149	88	29
150	89	28
151	89	28
152	89	27
153	89	26
154	90	26
155	90	25
156	90	24
157	91	24
158	91	23
159	91	22
160	91	22
161	92	21
162	92	20
163	92	20
164	92	19
165	93	19
166	93	18
167	93	17
168	94	17
169	94	16
170	94	16
171	94	15
172	95	14
173	95	14
174	95	13
175	96	13
176	96	12
177	96	11
178	97	11
179	97	10
180	97	10
181	98	9
182	98	9
183	98	8
184	98	8
185	99	7
186	99	6
187	99	6
188	100	5
189	100	5
190	100	4
191	101	4
192	101	3
193	101	3
194	102	2
195	102	2
196	102	1
197	103	1
198	103	0
199	103	0
